source_url,title,type_slug,group_label,target_filename,category_slug,product_slug,model_code,notes
https://www.idemaclima.it/wp-content/uploads/schede/FC_UI_SOFFITTO-PAVIMENTO_IMKH2-V.pdf,Scheda tecnica SOFFITTO-PAVIMENTO IMKH2-V,scheda-tecnica,Schede tecniche,FC_UI_SOFFITTO-PAVIMENTO_IMKH2-V.pdf,linea-idronica-terminali-idronici,imkh2-v,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/FC_UI_VITRO-IFS.pdf,Scheda tecnica VITRO-IFS,scheda-tecnica,Schede tecniche,FC_UI_VITRO-IFS.pdf,linea-idronica-terminali-idronici,ifs,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/FC_UI_VITRO-IHW.pdf,Scheda tecnica VITRO-IHW,scheda-tecnica,Schede tecniche,FC_UI_VITRO-IHW.pdf,linea-idronica-terminali-idronici,ihw,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/IM-UM_FC_UI_CANALIZZABILE_IMK-CBS.pdf,Manuale installazione e uso IMK-CBS,manuale-installazione,Manuali,IM-UM_FC_UI_CANALIZZABILE_IMK-CBS.pdf,linea-idronica-terminali-idronici,imk-cbs,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/IM-UM_FC_UI_CANALIZZABILE_IMKT-V.pdf,Manuale installazione e uso IMKT-V,manuale-installazione,Manuali,IM-UM_FC_UI_CANALIZZABILE_IMKT-V.pdf,linea-idronica-terminali-idronici,imkt-v,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/IM-UM_FC_UI_CASSETTA_600X600_IMKD-V.pdf,Manuale installazione e uso IMKD-V,manuale-installazione,Manuali,IM-UM_FC_UI_CASSETTA_600X600_IMKD-V.pdf,linea-idronica-terminali-idronici,imkd-v,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/IM-UM_FC_UI_CASSETTA_840X840_IMKA-V.pdf,Manuale installazione e uso IMKA-V,manuale-installazione,Manuali,IM-UM_FC_UI_CASSETTA_840X840_IMKA-V.pdf,linea-idronica-terminali-idronici,imka-v,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/IM-UM_FC_UI_CONSOLE_IMKH2-V.pdf,Manuale installazione e uso IMKH2-V,manuale-installazione,Manuali,IM-UM_FC_UI_CONSOLE_IMKH2-V.pdf,linea-idronica-terminali-idronici,imkh2-v,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/IM-UM_FC_UI_PARETE_IMKG-V.pdf,Manuale installazione e uso IMKG-V,manuale-installazione,Manuali,IM-UM_FC_UI_PARETE_IMKG-V.pdf,linea-idronica-terminali-idronici,imkg-v,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/PA_UI_IMK-CBS.pdf,Prestazioni IMK-CBS,altro,Prestazioni,PA_UI_IMK-CBS.pdf,linea-idronica-terminali-idronici,imk-cbs,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/PA_UI_IMKT-V.pdf,Prestazioni IMKT-V,altro,Prestazioni,PA_UI_IMKT-V.pdf,linea-idronica-terminali-idronici,imkt-v,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMK-CBS.pdf,Tabella rese IMK-CBS,tabella-rese,Tabelle rese,TAB_UI_IMK-CBS.pdf,linea-idronica-terminali-idronici,imk-cbs,,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKA-V1200R.pdf,Tabella rese IMKA-V1200R,tabella-rese,Tabelle rese,TAB_UI_IMKA-V1200R.pdf,linea-idronica-terminali-idronici,imka-v,IMKA-V1200R,Censimento sito storico 2026-08-26
https://www.idemaclima.it/wp-content/uploads/schede/TAB_UI_IMKA-V1500R.pdf,Tabella rese IMKA-V1500R,tabella-rese,Tabelle rese,TAB_UI_IMKA-V1500R.pdf,linea-idronica-terminali-idronici,imka-v,IMKA-V1500R,Censimento sito storico 2026-08-26
